Front,Back,Hint,Example,Tags
to resemble,нагадувати; бути схожим,,It resembles the old version.,verb
to struggle,мати труднощі; боротися,,I'm struggling with this bug.,verb
to encourage,заохочувати,,She encouraged me to apply.,verb
to reveal,виявити; розкрити,,The test revealed a leak.,verb
to pursue,переслідувати; домагатися,,He pursued the idea.,verb
to withstand,витримувати,,It can withstand heavy load.,verb
drawback,недолік,,The main drawback is the price.,noun
trade-off,компроміс; вибір між,,There's a trade-off between speed and cost.,noun
insight,розуміння; прозріння,,That gave me a useful insight.,noun
constraint,обмеження,,Time is the main constraint.,noun
bottleneck,вузьке місце,,The database is the bottleneck.,noun
assumption,припущення,,That assumption was wrong.,noun
outcome,результат; наслідок,,The outcome was surprising.,noun
approach,підхід,,A different approach is needed.,noun
concern,занепокоєння; проблема,,I have one concern.,noun
scope,обсяг; межі,,That's out of scope.,noun
leverage,важіль; перевага,,We have little leverage here.,noun
workaround,обхідний шлях,,It's only a workaround.,noun
milestone,віха; етап,,We hit the first milestone.,noun
shortcoming,вада; недолік,,The main shortcoming is speed.,noun
deadline,кінцевий термін,,The deadline is Friday.,noun
to set up,налаштувати; організувати,phrasal verb,Let's set up a meeting.,phrasal
to show up,з'явитися; прийти,phrasal verb,He showed up late again.,phrasal
to find out,дізнатися; з'ясувати,phrasal verb,I found out the truth.,phrasal
to sort out,розібратися; владнати,phrasal verb,We need to sort out this mess.,phrasal
to back up,підтримати; зробити резервну копію,phrasal verb,Always back up your data.,phrasal
to break down,зламатися; розкласти на частини,phrasal verb,The car broke down on the way.,phrasal
to call off,скасувати,phrasal verb,They called off the meeting.,phrasal
to catch up,наздогнати; надолужити,phrasal verb,I need to catch up on my emails.,phrasal
to check in,зареєструватися; поселитися,phrasal verb,We checked in at noon.,phrasal
to deal with,мати справу з; впоратися,phrasal verb,I'll deal with it tomorrow.,phrasal
to end up,опинитися; зрештою зробити,phrasal verb,We ended up staying home.,phrasal
to fall behind,відставати,phrasal verb,The project fell behind schedule.,phrasal
to fill in,заповнити; підмінити,phrasal verb,Please fill in the form.,phrasal
to get along,ладнати,phrasal verb,Do you get along with your boss?,phrasal
to get over,оговтатися; подолати,phrasal verb,She got over the flu quickly.,phrasal
to go through,пройти через; переглянути,phrasal verb,Let's go through the list.,phrasal
to hand in,здати; подати,phrasal verb,Hand in your report by Monday.,phrasal
to hang out,проводити час; тусуватися,phrasal verb,We hung out at the park.,phrasal
to hold on,зачекати; триматися,phrasal verb,Hold on a second.,phrasal
to let down,підвести; розчарувати,phrasal verb,Don't let the team down.,phrasal
to look up,шукати інформацію,phrasal verb,Look it up in the dictionary.,phrasal
to make up,вигадати; помиритися,phrasal verb,He made up an excuse.,phrasal
to pick up,підібрати; забрати,phrasal verb,I'll pick you up at six.,phrasal
to put up with,терпіти; миритися,phrasal verb,I can't put up with this noise.,phrasal
to rely on,покладатися на,phrasal verb,You can rely on me.,phrasal
to roll out,впроваджувати; розгортати,phrasal verb,We'll roll out the update next week.,phrasal
to run into,зіткнутися; випадково зустріти,phrasal verb,We ran into a problem.,phrasal
to set aside,відкласти; виділити,phrasal verb,Set aside some time for testing.,phrasal
to stand out,вирізнятися,phrasal verb,Her work really stands out.,phrasal
to take off,злетіти; зняти,phrasal verb,The plane took off on time.,phrasal
to think over,обміркувати,phrasal verb,Let me think it over.,phrasal
to turn out,виявитися,phrasal verb,It turned out to be easy.,phrasal
to wrap up,завершити; підсумувати,phrasal verb,Let's wrap up the meeting.,phrasal
to come across,натрапити; справляти враження,phrasal verb,I came across an old photo.,phrasal
to count on,розраховувати на,phrasal verb,Can I count on you?,phrasal
to cut down on,скоротити; зменшити,phrasal verb,I'm cutting down on sugar.,phrasal
to drop by,зазирнути; заскочити,phrasal verb,Drop by any time.,phrasal
to follow up,продовжити; нагадати,phrasal verb,I'll follow up with an email.,phrasal
to give in,поступитися; здатися,phrasal verb,He finally gave in.,phrasal
to go ahead,продовжувати; починати,phrasal verb,Go ahead and start without me.,phrasal
to lay off,звільнити через скорочення,phrasal verb,The company laid off fifty people.,phrasal
to leave out,пропустити; не включити,phrasal verb,You left out an important detail.,phrasal
to look after,доглядати; піклуватися,phrasal verb,Who will look after the kids?,phrasal
to mix up,переплутати,phrasal verb,I always mix up their names.,phrasal
to pass away,померти; піти з життя,phrasal verb,His grandfather passed away last year.,phrasal
to point to,вказувати на; свідчити про,phrasal verb,The data points to a bug.,phrasal
to settle down,заспокоїтися; осісти,phrasal verb,They settled down in Lviv.,phrasal
to shut down,вимкнути; закрити,phrasal verb,Shut down your computer.,phrasal
to sign up,записатися; зареєструватися,phrasal verb,I signed up for the course.,phrasal
to speak up,висловитися; говорити голосніше,phrasal verb,Speak up if you disagree.,phrasal
to step down,піти з посади,phrasal verb,The CEO stepped down.,phrasal
to stick to,дотримуватися,phrasal verb,Let's stick to the plan.,phrasal
to take up,зайнятися; займати,phrasal verb,I took up running.,phrasal
to tell apart,розрізняти,phrasal verb,I can't tell the twins apart.,phrasal
to try out,випробувати,phrasal verb,Try out the new feature.,phrasal
to turn up,з'явитися; зробити гучніше,phrasal verb,Something will turn up.,phrasal
to wear out,зношуватися; виснажувати,phrasal verb,These shoes wore out fast.,phrasal
to boil down to,зводитися до,phrasal verb,It all boils down to money.,phrasal
to brush up on,освіжити знання,phrasal verb,I need to brush up on my English.,phrasal
in the long run,у довгостроковій перспективі,,It will pay off in the long run.,idiom
on the other hand,з іншого боку,,"On the other hand, it's cheaper.",idiom
to be up to,залежати від; замишляти,,It's up to you.,idiom
to be about to,збиратися; от-от,,I was about to call you.,idiom
to have a point,мати рацію,,You have a point there.,idiom
to take for granted,сприймати як належне,,Don't take your health for granted.,idiom
to keep an eye on,наглядати; стежити,,Keep an eye on the logs.,idiom
to get to the point,перейти до суті,,Please get to the point.,idiom
to hit the nail on the head,влучити в точку,,You hit the nail on the head.,idiom
to call it a day,закінчити на сьогодні,,Let's call it a day.,idiom
to break the ice,розрядити атмосферу,,A joke helped break the ice.,idiom
a piece of cake,простіше простого,,The exam was a piece of cake.,idiom
under the weather,нездужати,,I'm feeling under the weather.,idiom
to play it by ear,діяти за обставинами,,We'll play it by ear.,idiom
to be in charge of,відповідати за,,Who is in charge of testing?,idiom
out of the blue,раптово; ні з того ні з сього,,He called me out of the blue.,idiom
to go the extra mile,докласти додаткових зусиль,,She always goes the extra mile.,idiom
the last straw,остання крапля,,That was the last straw.,idiom
to miss the point,не зрозуміти суті,,You're missing the point.,idiom
to be up in the air,бути невизначеним,,Our plans are still up in the air.,idiom
to run late,запізнюватися,,"Sorry, I'm running late.",idiom
to keep someone posted,тримати в курсі,,Keep me posted.,idiom
to touch base,зв'язатися; звіритися,,Let's touch base next week.,idiom
to be on track,іти за планом,,The project is on track.,idiom
to think outside the box,мислити нестандартно,,We need to think outside the box.,idiom
to have second thoughts,засумніватися; передумувати,,I'm having second thoughts about it.,idiom
to make ends meet,зводити кінці з кінцями,,They can barely make ends meet.,idiom
to put it mildly,м'яко кажучи,,"It was a mistake, to put it mildly.",idiom
at the end of the day,зрештою; врешті-решт,,"At the end of the day, it's your call.",idiom
to go without saying,само собою зрозуміло,,It goes without saying.,idiom
to lose track of,втратити лік; втратити зв'язок,,I lost track of time.,idiom
to take a rain check,перенести на інший раз,,Can I take a rain check?,idiom
to be fed up with,бути ситим по горло,,I'm fed up with excuses.,idiom
to give someone a hand,допомогти,,Can you give me a hand?,idiom
to spill the beans,вибовкати таємницю,,Who spilled the beans?,idiom
to beat around the bush,ходити навколо та навколо,,Stop beating around the bush.,idiom
in the meantime,тим часом,,"In the meantime, let's wait.",idiom
on short notice,у стислий термін; без попередження,,Thanks for coming on short notice.,idiom
as far as I know,наскільки я знаю,,"As far as I know, he left.",idiom
to be better off,бути в кращому становищі,,You're better off without it.,idiom
to get cold feet,злякатися в останню мить,,He got cold feet before the wedding.,idiom
to jump to conclusions,робити поспішні висновки,,Don't jump to conclusions.,idiom
to be on the fence,вагатися,,I'm still on the fence about it.,idiom
by and large,загалом; здебільшого,,"By and large, it went well.",idiom
to cost an arm and a leg,коштувати шалених грошей,,That car cost an arm and a leg.,idiom
to have a lot on one's plate,мати купу справ,,I have a lot on my plate right now.,idiom
to learn the ropes,освоїтися; навчитися основ,,It takes time to learn the ropes.,idiom
to reinvent the wheel,винаходити велосипед,,No need to reinvent the wheel.,idiom
to be in the same boat,бути в однаковому становищі,,We're all in the same boat.,idiom
to sleep on it,відкласти рішення до ранку,,Let me sleep on it.,idiom
moreover,крім того; більше того,,"Moreover, it saves time.",linking
furthermore,до того ж; крім того,,"Furthermore, the price is lower.",linking
although,хоча,,"Although it rained, we went out.",linking
despite,незважаючи на,,"Despite the delay, we finished.",linking
otherwise,інакше; в іншому разі,,"Hurry, otherwise we'll miss it.",linking
instead,натомість; замість,,Let's walk instead.,linking
thus,таким чином; отже,,Thus the problem was solved.,linking
hence,звідси; тому,,"It's cheap, hence popular.",linking
consequently,внаслідок цього; отже,,"Consequently, the plan failed.",linking
likewise,так само; аналогічно,,"Likewise, I'd like to thank you.",linking
in addition,на додачу; крім того,,"In addition, we need more staff.",linking
as a result,у результаті,,"As a result, sales grew.",linking
in contrast,на противагу,,"In contrast, the old one was slow.",linking
unless,якщо не,,We'll go unless it rains.,linking
whether,чи,,I don't know whether he'll come.,linking
apparently,вочевидь; судячи з усього,,Apparently he quit.,linking
obviously,очевидно,,Obviously we need more time.,linking
actually,насправді; фактично,,"Actually, I disagree.",linking
basically,по суті; в основному,,Basically it's the same thing.,linking
hardly,ледве; навряд,,I can hardly hear you.,linking
merely,лише; просто,,It was merely a suggestion.,linking
nearly,майже,,It's nearly done.,linking
rather,досить; скоріше,,It's rather cold today.,linking
recently,нещодавно,,I recently moved.,linking
occasionally,іноді; зрідка,,I occasionally work from home.,linking
immediately,негайно; одразу,,Call me immediately.,linking
gradually,поступово,,Things gradually improved.,linking
apparent,очевидний; уявний,,There's no apparent reason.,adjective
essential,суттєвий; необхідний,,Sleep is essential.,adjective
sufficient,достатній,,Is this sufficient?,adjective
available,доступний; вільний,,Are you available tomorrow?,adjective
appropriate,доречний; відповідний,,That's not appropriate here.,adjective
consistent,послідовний; сталий,,Be consistent with naming.,adjective
convenient,зручний,,Is Friday convenient for you?,adjective
current,поточний; теперішній,,What's the current status?,adjective
efficient,ефективний; продуктивний,,A more efficient algorithm.,adjective
obvious,очевидний,,The answer is obvious.,adjective
previous,попередній,,The previous version was better.,adjective
relevant,доречний; стосовний,,That's not relevant.,adjective
significant,значний; суттєвий,,A significant improvement.,adjective
tricky,складний; каверзний,,That's a tricky question.,adjective
vague,розмитий; нечіткий,,His answer was vague.,adjective
awkward,незграбний; незручний,,An awkward silence.,adjective
brave,хоробрий,,That was very brave of you.,adjective
careless,недбалий,,A careless mistake.,adjective
confident,впевнений,,I'm confident we'll win.,adjective
curious,допитливий; цікавий,,I'm curious about it.,adjective
exhausted,виснажений,,I'm completely exhausted.,adjective
generous,щедрий,,A generous offer.,adjective
grateful,вдячний,,I'm grateful for your help.,adjective
humble,скромний,,He stayed humble.,adjective
jealous,ревнивий; заздрісний,,Don't be jealous.,adjective
lazy,лінивий,,I feel lazy today.,adjective
polite,ввічливий,,Please be polite.,adjective
reluctant,неохочий,,He was reluctant to agree.,adjective
rude,грубий,,That was rude.,adjective
sensible,розсудливий; розумний,,A sensible decision.,adjective
sensitive,чутливий,,This is sensitive data.,adjective
upset,засмучений,,She was upset about it.,adjective
worried,стурбований,,I'm worried about him.,adjective
ambiguous,неоднозначний,,The requirement is ambiguous.,adjective
tedious,нудний; виснажливий,,A tedious task.,adjective
urgent,терміновий,,This is urgent.,adjective
mandatory,обов'язковий,,Attendance is mandatory.,adjective
optional,необов'язковий,,This step is optional.,adjective
obsolete,застарілий,,That API is obsolete.,adjective
robust,надійний; стійкий,,A robust solution.,adjective
scalable,масштабований,,Is it scalable?,adjective
seamless,безшовний; плавний,,A seamless transition.,adjective
crucial,вирішальний; ключовий,,This is a crucial step.,adjective
diverse,різноманітний,,A diverse team.,adjective
genuine,справжній; щирий,,A genuine interest.,adjective
inevitable,неминучий,,Change is inevitable.,adjective
overwhelming,приголомшливий; непосильний,,An overwhelming amount of work.,adjective
precise,точний,,Be precise.,adjective
rough,грубий; приблизний,,A rough estimate.,adjective
steady,стабільний; рівномірний,,Steady progress.,adjective
temporary,тимчасовий,,A temporary fix.,adjective
unexpected,несподіваний,,An unexpected error.,adjective
valid,дійсний; обґрунтований,,Is this ticket valid?,adjective
wise,мудрий,,A wise choice.,adjective
to achieve,досягати,,We achieved our goals.,verb
to adjust,налаштувати; пристосуватися,,Adjust the settings.,verb
to afford,дозволити собі,,I can't afford it.,verb
to appreciate,цінувати; бути вдячним,,I appreciate your help.,verb
to approve,схвалити; затвердити,,The manager approved it.,verb
to avoid,уникати,,Avoid long meetings.,verb
to claim,стверджувати; вимагати,,He claims it works.,verb
to complain,скаржитися,,Stop complaining.,verb
to consider,розглядати; вважати,,Consider the options.,verb
to convince,переконати,,She convinced me.,verb
to deny,заперечувати,,He denied everything.,verb
to deserve,заслуговувати,,You deserve a break.,verb
to determine,визначити,,We need to determine the cause.,verb
to emphasize,наголошувати,,I want to emphasize this point.,verb
to ensure,гарантувати; забезпечити,,Ensure the tests pass.,verb
to evaluate,оцінювати,,Evaluate the results.,verb
to expand,розширювати,,We plan to expand abroad.,verb
to handle,впоратися; обробляти,,Can you handle it?,verb
to hesitate,вагатися,,Don't hesitate to ask.,verb
to improve,покращувати,,We improved the speed.,verb
to indicate,вказувати; свідчити,,The results indicate a problem.,verb
to involve,залучати; включати,,The job involves travel.,verb
to justify,виправдати; обґрунтувати,,Can you justify the cost?,verb
to manage,керувати; впоратися,,I managed to finish.,verb
to negotiate,вести переговори,,We negotiated a better price.,verb
to obtain,отримати; здобути,,Obtain permission first.,verb
to occur,траплятися; спадати на думку,,The error occurs randomly.,verb
to overcome,подолати,,We overcame the difficulties.,verb
to persuade,переконати; умовити,,Persuade him to stay.,verb
to prevent,запобігати,,Prevent data loss.,verb
to prioritize,визначати пріоритети,,Prioritize the tasks.,verb
to promote,просувати; підвищувати,,She was promoted.,verb
to propose,пропонувати,,I propose a new plan.,verb
to recommend,рекомендувати,,I recommend this book.,verb
to reduce,зменшувати,,Reduce the risk.,verb
to refuse,відмовлятися,,He refused to help.,verb
to replace,замінювати,,Replace the old part.,verb
to require,вимагати; потребувати,,This requires attention.,verb
to resolve,вирішити; розв'язати,,The issue was resolved.,verb
to retrieve,отримати назад; витягти,,Retrieve the data.,verb
to review,переглядати; перевіряти,,Please review my code.,verb
to succeed,досягти успіху,,She succeeded in the end.,verb
to suggest,пропонувати; радити,,I suggest we wait.,verb
to suppose,припускати,,I suppose you're right.,verb
to tackle,взятися за; розв'язувати,,Let's tackle this problem.,verb
to undergo,зазнавати; проходити,,The system underwent changes.,verb
to utilize,використовувати,,Utilize the resources.,verb
to verify,перевірити; підтвердити,,Verify your email.,verb
to warn,попереджати,,I warned you.,verb
to wonder,цікавитися; дивуватися,,I wonder why.,verb
to anticipate,передбачати; очікувати,,We anticipate delays.,verb
to clarify,уточнити; прояснити,,Could you clarify that?,verb
to comply,дотримуватися; виконувати,,We must comply with the rules.,verb
to delegate,делегувати,,Learn to delegate.,verb
to endorse,схвалювати; підтримувати,,He endorsed the plan.,verb
to exceed,перевищувати,,Costs exceeded the budget.,verb
to facilitate,сприяти; полегшувати,,This facilitates learning.,verb
to overlook,не помітити; прогледіти,,I overlooked a detail.,verb
to streamline,спростити; оптимізувати,,Streamline the process.,verb
advantage,перевага,,The main advantage is speed.,noun
agreement,згода; угода,,We reached an agreement.,noun
attempt,спроба,,It was my first attempt.,noun
behavior,поведінка,,His behavior was odd.,noun
benefit,користь; вигода,,What's the benefit?,noun
challenge,виклик; складне завдання,,It's a real challenge.,noun
commitment,зобов'язання; відданість,,It's a big commitment.,noun
consequence,наслідок,,Think about the consequences.,noun
decision,рішення,,A tough decision.,noun
effort,зусилля,,It takes effort.,noun
evidence,доказ; свідчення,,There's no evidence.,noun
experience,досвід; враження,,A great experience.,noun
feature,функція; особливість,,A new feature.,noun
goal,мета,,What's your goal?,noun
issue,проблема; питання,,We have an issue.,noun
knowledge,знання,,Knowledge is power.,noun
opportunity,можливість,,A great opportunity.,noun
opinion,думка,,"In my opinion, it's fine.",noun
purpose,мета; призначення,,What's the purpose?,noun
requirement,вимога,,A key requirement.,noun
responsibility,відповідальність,,It's your responsibility.,noun
skill,навичка,,A useful skill.,noun
solution,рішення; розв'язок,,We found a solution.,noun
source,джерело,,What's the source?,noun
strength,сила; сильна сторона,,Patience is his strength.,noun
weakness,слабкість; слабке місце,,Everyone has a weakness.,noun
survey,опитування,,Fill in the survey.,noun
threat,загроза,,A serious threat.,noun
advice,порада,,Can I give you some advice?,noun
appointment,зустріч; запис на прийом,,I have a dentist appointment.,noun
background,досвід; походження; фон,,What's your background?,noun
budget,бюджет,,We're over budget.,noun
colleague,колега,,She's my colleague.,noun
complaint,скарга,,We received a complaint.,noun
feedback,зворотний зв'язок; відгук,,Thanks for the feedback.,noun
guideline,настанова; рекомендація,,Follow the guidelines.,noun
invoice,рахунок-фактура; рахунок,,Send me the invoice.,noun
estimate,оцінка; кошторис,,A rough estimate.,noun
backlog,накопичені завдання; беклог,,The backlog keeps growing.,noun
overhead,накладні витрати,,The overhead is too high.,noun
rollout,впровадження; розгортання,,The rollout went smoothly.,noun
stakeholder,зацікавлена сторона,,Inform the stakeholders.,noun
downside,мінус; недолік,,The downside is cost.,noun
edge case,граничний випадок,,Handle the edge cases.,noun
bias,упередження,,Watch out for bias.,noun
breakthrough,прорив,,A major breakthrough.,noun
circumstance,обставина,,Under the circumstances.,noun
distraction,відволікання,,Phones are a distraction.,noun
guess,здогадка,,It's just a guess.,noun
habit,звичка,,A good habit.,noun
mistake,помилка,,Everyone makes mistakes.,noun
patience,терпіння,,Thanks for your patience.,noun
permission,дозвіл,,Ask for permission.,noun
pressure,тиск,,I work well under pressure.,noun
priority,пріоритет,,Safety is our priority.,noun
reason,причина,,For no reason.,noun
relief,полегшення,,What a relief!,noun
research,дослідження,,More research is needed.,noun
schedule,розклад; графік,,Check the schedule.,noun
suggestion,пропозиція; порада,,Any suggestions?,noun
to make a decision,ухвалити рішення; прийняти рішення,,We need to make a decision.,collocation
to pay attention,звертати увагу,,Pay attention to details.,collocation
to take a break,зробити перерву,,Let's take a break.,collocation
to make progress,робити поступ; просуватися,,We're making progress.,collocation
to do one's best,робити все можливе,,I'll do my best.,collocation
to make a mistake,зробити помилку; помилитися,,I made a mistake.,collocation
to take responsibility,брати відповідальність,,Take responsibility for it.,collocation
to raise a question,порушити питання,,He raised an important question.,collocation
to meet a deadline,вкластися в термін,,We met the deadline.,collocation
to miss a deadline,зірвати термін,,We can't miss the deadline.,collocation
to run a meeting,проводити нараду,,Who's running the meeting?,collocation
to make an effort,докласти зусиль,,Make an effort to listen.,collocation
to draw a conclusion,зробити висновок,,What conclusion can we draw?,collocation
to reach an agreement,дійти згоди,,We reached an agreement.,collocation
to take a risk,ризикнути,,Sometimes you have to take a risk.,collocation
to save time,заощадити час,,This saves time.,collocation
to waste time,марнувати час,,Don't waste time.,collocation
to keep a promise,дотримати обіцянки,,Always keep your promises.,collocation
to break a promise,порушити обіцянку,,He broke his promise.,collocation
to give a presentation,виступити з презентацією,,I'm giving a presentation tomorrow.,collocation
to set a goal,поставити мету,,Set a clear goal.,collocation
to solve a problem,розв'язати проблему; вирішити проблему,,We solved the problem.,collocation
to have a look,поглянути,,Can you have a look?,collocation
to make a difference,мати значення; змінити ситуацію,,Your help made a difference.,collocation
to take notes,робити нотатки,,Take notes during the call.,collocation
